time,role,annotator_id,analysed_account_id,answer,ground_truth_label,bot_quality
1637045255.1472545,BOTS_ONLY,1555616902,183285384,USER,BOT,LIVE
1637045258.5465038,BOTS+RANDOM,1351219319,230588376,USER,USER,
1637045262.228475,BOTS+RANDOM,785202004,129328563,USER,USER,
1637045263.8169515,BOTS_ONLY,1555616902,549719081,BOT,BOT,MID
1637045265.5352962,BOTS+GROUPS_SHIFTED,1971868463,470114992,BOT,BOT,LOW
1637045272.1392474,BOTS_ONLY,1448919485,584379791,USER,BOT,MID
1637045272.3451526,BOTS+RANDOM,451926275,570998809,BOT,BOT,LOW
1637045281.2618546,BOTS_ONLY,1555616902,26497060,USER,BOT,LIVE
1637045283.9858036,BOTS_ONLY,923283466,213645552,BOT,BOT,MID
1637045284.1642911,BOTS+GROUPS_SHIFTED,591258635,243651996,USER,USER,
1637045285.398199,BOTS+RANDOM,451926275,485207705,BOT,BOT,MID
1637045288.7320564,BOTS_ONLY,1555616902,342823531,BOT,BOT,LIVE
1637045293.722882,BOTS_ONLY,1555616902,585826018,BOT,BOT,MID
1637045297.3518617,BOTS+RANDOM,214950535,511289377,BOT,BOT,MID
1637045298.8864698,BOTS_ONLY,1975879812,171948199,BOT,BOT,LIVE
1637045306.7705536,BOTS_ONLY,1448919485,246310503,USER,BOT,MID
1637045308.6970737,BOTS_ONLY,923283466,583637413,IDN,BOT,MID
1637045315.4270053,BOTS+GROUPS_SHIFTED,1971868463,143753858,USER,USER,
1637045324.8774147,BOTS+RANDOM,451926275,555913250,USER,BOT,MID
1637045326.37015,BOTS_ONLY,1448919485,369037890,USER,BOT,LOW
1637045330.9621804,BOTS_ONLY,1448919485,584979341,IDN,BOT,MID
1637045332.3772838,BOTS+RANDOM,1351219319,352763587,USER,BOT,LIVE
1637045332.656007,BOTS+RANDOM,785202004,375882497,BOT,USER,
1637045336.2632034,BOTS_ONLY,1448919485,582780043,IDN,BOT,LIVE
1637045341.1629736,BOTS_ONLY,1448919485,585576824,BOT,BOT,LOW
1637045344.1149662,BOTS_ONLY,1555616902,565900104,USER,BOT,MID
1637045346.9018133,BOTS+RANDOM,889969266,581451286,BOT,BOT,MID
1637045348.675068,BOTS+RANDOM,451926275,473215945,BOT,BOT,HIGH
1637045363.7450118,BOTS+GROUPS_SHIFTED,591258635,4115242,USER,USER,
1637045364.30234,BOTS+GROUPS_SHIFTED,1971868463,12670748,USER,BOT,HIGH
1637045367.3265023,BOTS_ONLY,1555616902,403364300,USER,BOT,MID
1637045367.499841,BOTS+RANDOM,1767820372,585765943,IDN,BOT,LIVE
1637045369.8894017,BOTS+RANDOM,451926275,537889818,BOT,USER,
1637045373.9022152,BOTS_ONLY,1555616902,485404396,BOT,BOT,MID
1637045375.66642,BOTS_ONLY,923283466,574731679,BOT,BOT,LOW
1637045377.5573547,BOTS+RANDOM,785202004,577858954,BOT,BOT,MID
1637045378.6236358,BOTS_ONLY,1555616902,325658499,BOT,BOT,LOW
